src	trg	weight	src_type	trg_type	edge_type
149	486	0.9985	4	1	1#4
361	453	0.9982	5	1	1#5
222	746	0.9908	5	4	4#5
165	788	0.9901	2	2	2#2
109	241	0.9900	1	4	1#4
48	101	0.9900	5	1	1#5
64	78	0.9900	1	1	1#1
817	973	0.9900	4	4	4#4
707	973	0.9900	2	4	2#4
351	532	0.9900	4	5	4#5
64	939	0.9900	1	3	1#3
55	304	0.9900	3	1	1#3
360	485	0.9900	1	1	1#1
32	241	0.9900	3	4	3#4
101	695	0.9900	1	4	1#4
109	328	0.9900	1	1	1#1
173	328	0.9900	1	1	1#1
157	536	0.9900	1	1	1#1
95	116	0.9900	5	3	3#5
130	755	0.9900	2	5	2#5
104	542	0.9900	4	5	4#5
105	542	0.9900	4	5	4#5
117	555	0.9900	1	5	1#5
1	832	0.9900	5	2	2#5
505	595	0.9900	2	2	2#2
189	238	0.9900	5	3	3#5
259	282	0.9900	1	1	1#1
504	554	0.9900	1	1	1#1
2	164	0.9900	1	1	1#1
144	160	0.9900	2	1	1#2
210	392	0.9900	2	2	2#2
20	47	0.9900	1	4	1#4
399	588	0.9900	2	3	2#3
276	526	0.9900	3	2	2#3
9	571	0.9900	3	2	2#3
286	355	0.9900	3	5	3#5
158	391	0.9900	1	2	1#2
39	63	0.9900	4	4	4#4
392	524	0.9900	2	2	2#2
703	710	0.9900	3	3	3#3
417	448	0.9900	3	1	1#3
335	769	0.9900	5	4	4#5
51	102	0.9900	2	2	2#2
595	786	0.9900	2	4	2#4
8	320	0.9900	1	2	1#2
63	782	0.9900	4	5	4#5
27	524	0.9900	5	2	2#5
24	32	0.9900	2	3	2#3
505	692	0.9900	2	1	1#2
24	158	0.9900	2	1	1#2
484	820	0.9900	3	3	3#3
199	839	0.9900	3	1	1#3
12	157	0.9900	1	1	1#1
269	395	0.9900	1	1	1#1
332	395	0.9900	3	1	1#3
203	836	0.9900	4	4	4#4
63	88	0.9900	4	4	4#4
477	876	0.9900	2	1	1#2
133	380	0.9900	2	3	2#3
274	754	0.9900	3	1	1#3
73	386	0.9900	3	1	1#3
274	898	0.9900	3	2	2#3
180	195	0.9900	4	4	4#4
408	762	0.9900	5	4	4#5
594	658	0.9900	2	4	2#4
363	548	0.9900	1	4	1#4
790	793	0.9900	3	3	3#3
183	203	0.9900	5	4	4#5
651	675	0.9900	1	4	1#4
532	604	0.9900	5	1	1#5
564	688	0.9900	3	4	3#4
164	907	0.9900	1	1	1#1
188	379	0.9900	2	3	2#3
954	984	0.9900	5	2	2#5
33	158	0.9900	1	1	1#1
563	566	0.9900	5	5	5#5
39	134	0.9900	4	4	4#4
533	564	0.9900	3	3	3#3
254	813	0.9900	1	3	1#3
126	472	0.9900	4	2	2#4
523	616	0.9900	5	3	3#5
141	273	0.9900	2	4	2#4
304	797	0.9900	1	5	1#5
627	911	0.9900	4	1	1#4
262	636	0.9900	5	5	5#5
58	805	0.9900	5	2	2#5
126	195	0.9900	4	4	4#4
609	785	0.9900	2	5	2#5
157	616	0.9900	1	3	1#3
196	269	0.9900	2	1	1#2
35	269	0.9900	1	1	1#1
329	578	0.9900	1	4	1#4
261	426	0.9900	2	3	2#3
664	720	0.9900	2	3	2#3
16	331	0.9900	2	3	2#3
126	766	0.9900	4	4	4#4
391	392	0.9900	2	2	2#2
532	535	0.9900	5	5	5#5
1	16	0.9900	5	2	2#5
141	439	0.9900	2	3	2#3
